8.24	2.20	2.51	0.15	0.14	0.78	0.81
7.84	2.09	2.39	0.27	0.23	0.76	0.79
9.27	2.47	2.82	0.24	0.20	0.87	0.89
9.83	2.62	3.00	0.36	0.28	0.91	0.92
6.34	1.69	1.93	0.27	0.25	0.62	0.67
5.51	1.47	1.68	0.33	0.31	0.52	0.59
4.36	1.16	1.33	0.90	0.75	0.39	0.48
4.03	1.08	1.23	0.48	0.43	0.35	0.44
5.76	1.54	1.76	0.88	0.73	0.55	0.61
4.26	1.13	1.30	0.48	0.46	0.37	0.46
3.90	1.04	1.19	0.48	0.49	0.33	0.42
4.42	1.18	1.35	0.52	0.46	0.37	0.46
4.40	1.17	1.34	0.59	0.50	0.37	0.46
4.72	1.26	1.44	0.38	0.36	0.41	0.49
9.46	2.52	2.89	0.08	0.08	0.86	0.88
