Name,Period,Period_Err,Pdot_lim,Pdot,Pdot_Err,B_lim,B,Edot_lim,Edot,Age_lim,Age,Ref_Time,NH,NH_EUp,NH_EDn,Gamma,Gamma_EUp,Gamma_EDn,kT,kT_EUp,kT_EDn,kT2,kT2_EUp,kT2_EDn,Flux_lim,Flux,Flux_EUp,Flux_EDn,Ref_Xray,TrustD,Dist,Dist_EUp,Dist_EDn,Ref_Dist,Lumin_lim,Lumin,Assoc,Assoctype,Ref_Assoc,OptIR,Bands,Activity,RA,RA_Err,Decl,Decl_Err,Ref_Pos,HST,NearestSNRdeg,NearestHIIdeg,DistSNRkpc,DistHIIkpc
SAGITTARIUSASTAR,,,,,,,,,,999,-999,,,,,,,,,,,,,,,,,,,NA,8.18,1.227,1.227,,,,,,,,,,17h45m40.0409s,0, -29d0m28.118s,0,,N,0,0,0,0
CXOUJ010043.1-721134,8.020392,9E-06,,1.88E-11,8E-13,,393000000000000,,1.44E+033,0,6760,mgr+05,6.3E+020,2E+020,1.6E+020,,,,0.3,0.02,0.02,0.68,0.09,0.07,,1.4E-13,,,tem08,MC,62.4,1.6,1.6,hgd12b,,6.5E+034,SMC,,lfmp02,maybe,X,,1h0m43.14s,0.13,-72d11m33.8s,0.6,lfmp02,N,0,0,0,0
4U0142+61,8.68869249,5E-08,,2.02E-12,4E-15,,134000000000000,,1.22E+032,0,68100,dk14,1E+022,1E+020,1E+020,3.88,0.01,0.01,0.41,0.004,0.002,,,,,6.79E-11,,,rni+07,Y,3.6,0.4,0.4,dv06b,,1.1E+035,,,,yes,HXOI,BG,1h46m22.407s,0.028,61d45m3.19s,0.2,hvk04,N,2.519714331,2.651804841,0,0
SGR0418+5729,9.07838822,5E-08,,4E-15,1E-15,,6100000000000,,2.11E+029,0,36000000,rip+13,1.15E+021,6E+019,6E+019,,,,0.32,0.05,0.05,,,,,2E-15,1.4E-15,1E-15,rip+13,N,2,0.3,0.3,vck+10,,9.6E+029,,,,no,X,BT,4h18m33.867s,0.043,57d32m22.91s,0.35,vck+10,N,2.377110805,2.837730336,0,0
SGR0501+4516,5.7620695,1E-07,,5.94E-12,2E-14,,187000000000000,,1.23E+033,0,15400,cpr+14,8.8E+021,1E+020,1E+020,3.84,0.06,0.06,0.5,0.02,0.02,,,,,1.7E-12,,,cpr+14,Y,2,0.3,0.3,"lkb+11, GCN8149",,8.1E+032,SNR HB 9?,,GCN8149,yes,HXO,B,5h1m6.76s,0.01,45d16m33.92s,0.11,gwk+10,N,1.390748866,1.754662463,0,0
SGR0526-66,8.0544,0.0002,,3.8E-11,1E-12,,560000000000000,,2.87E+033,0,3360,tem+09,6.04E+021,5.8E+020,5.9E+020,2.5,0.11,0.12,0.44,0.02,0.02,,,,,5.5E-13,,,phs+12,MC,53.6,1.2,1.2,hgd12a,,1.9E+035,"LMC, SNR N49?, SL 463",,"cdt+82, khg+04",no,X,BF,5h26m0.89s,0.1,-66d4m36.3s,0.6,kkm+03,N,0,0,0,0
1E1048.1-5937,6.457875,3E-06,,2.25E-11,,,386000000000000,,3.3E+033,0,4540,dkg09,9.7E+021,1E+020,1E+020,3.14,0.11,0.11,0.56,0.01,0.01,,,,,5.1E-12,1E-13,1E-13,tgd+08,Y,9,1.7,1.7,dv06b,,4.9E+034,GSH 288.3-0.5-28?,,gmo+05,yes,HXO,BG,10h50m7.14s,0.08,-59d53m21.4s,0.6,wc02,N,1.446783781,0,0,0
1E1547.0-5408,2.0721255,1E-07,,4.77E-11,,,318000000000000,,2.11E+035,0,689,dksg12,3.2E+022,2E+021,2E+021,4,0.2,0.2,0.43,0.03,0.03,,,,,5.4E-13,,,bis+11,Y,4.5,0.5,0.5,tve+10,,1.3E+033,SNR G327.24-0.13,SNR,gg07,maybe,HXR,BT,15h50m54.12386s,0.00064,-54d18m24.1141s,0.002,dcrh12,N,0.007034809,0,0,0
PSRJ1622-4950,4.3261,0.0001,,1.7E-11,1E-12,,274000000000000,,8.29E+033,0,4030,lbb+10,5.4E+022,1.6E+022,1.4E+022,,,,0.5,0.1,0.1,,,,,4.5E-14,6.3E-14,2.8E-14,ags+12,Y,9,1.35,1.35,"lbb+10, chatterjee+09 for error",,4.4E+032,SNR G333.9+0.0,SNR,ags+12,no,XR,,16h22m44.89s,0.08,-49d50m52.7s,0.8,ags+12,N,1.340860148,0,0,0
SGR1627-41,2.594578,6E-06,,1.9E-11,4E-12,,225000000000000,,4.29E+034,0,2160,"etm+09, ebp+09",1E+023,2E+022,2E+022,2.9,0.8,0.8,,,,,,,,2.5E-13,1.7E-13,1E-13,"eiz+08, akt+12",Y,11,0.3,0.3,ccdd99,,3.6E+033,"CTB 33, MC -71, SNR G337.0-0.1",SNR,"ccdd99, wkv+99b",no,X,BT,16h35m51.844s,0.02,-47d35m23.31s,0.2,wpk+04,N,0.01771333,0,0,0
